"2026-01-29 14:08:47","nba","2020","nba_stats","shots reference missing games: 971 keys"
"2026-01-30 10:19:23","nba","2015","nba_stats","'list' object cannot be coerced to type 'integer'"
"2026-01-30 14:03:14","nba","2020","espn","could not find function \".espn_nba_empty_games\""
"2026-01-30 14:04:28","nba","2021","espn","could not find function \".espn_nba_empty_games\""
"2026-01-30 14:05:37","nba","2022","espn","could not find function \".espn_nba_empty_games\""
"2026-01-30 14:06:43","nba","2023","espn","could not find function \".espn_nba_empty_games\""
"2026-01-30 14:07:53","nba","2024","espn","could not find function \".espn_nba_empty_games\""
"2026-01-30 14:08:48","nba","2025","espn","could not find function \".espn_nba_empty_games\""
"2026-01-30 15:05:09","nba","2020","espn","could not find function \".espn_nba_empty_games\""
"2026-01-30 15:05:33","nba","2021","espn","could not find function \".espn_nba_empty_games\""
"2026-01-30 15:05:44","nba","2022","espn","could not find function \".espn_nba_empty_games\""
"2026-01-30 15:05:54","nba","2023","espn","could not find function \".espn_nba_empty_games\""
"2026-01-30 15:06:06","nba","2024","espn","could not find function \".espn_nba_empty_games\""
"2026-01-30 15:06:17","nba","2025","espn","could not find function \".espn_nba_empty_games\""
